Designator,Mid X,Mid Y,Layer,Rotation
C1,-0.175000,-9.100000,Top,180.000000
C2,-0.175000,-10.600000,Top,180.000000
C3,22.700000,-31.075000,Top,90.000000
C4,21.200000,-31.075000,Top,90.000000
C5,5.300000,-16.675000,Top,-90.000000
C6,8.300000,-16.675000,Top,-90.000000
C7,1.250000,-20.700000,Top,0.000000
C8,12.300000,-12.475000,Top,-90.000000
C9,7.800000,-12.475000,Top,-90.000000
C10,24.900000,-26.800000,Top,0.000000
C11,24.900000,-17.400000,Top,0.000000
C12,17.100000,-12.475000,Top,-90.000000
C13,9.300000,-9.475000,Top,-90.000000
C14,30.875000,-15.900000,Top,0.000000
C15,27.875000,-15.900000,Top,0.000000
C16,13.200000,-4.950000,Top,90.000000
C17,13.200000,-0.325000,Top,-90.000000
C18,15.500000,-4.950000,Top,90.000000
C19,15.500000,-0.325000,Top,-90.000000
C20,1.250000,-19.200000,Top,180.000000
C21,7.350000,-23.250000,Top,0.000000
C22,17.100000,-9.475000,Top,90.000000
C23,34.375000,-11.300000,Top,180.000000
C24,18.200000,-31.075000,Top,90.000000
C25,19.700000,-31.075000,Top,90.000000
C26,7.350000,-24.750000,Top,0.000000
C27,4.325000,-28.300000,Top,180.000000
C28,4.325000,-26.800000,Top,180.000000
C29,1.250000,-14.700000,Top,0.000000
C30,1.250000,-13.200000,Top,0.000000
C31,34.375000,-8.300000,Top,0.000000
C32,7.800000,-9.475000,Top,90.000000
C33,34.375000,-6.800000,Top,180.000000
C34,6.300000,-9.475000,Top,90.000000
D1,6.600000,-5.950000,Top,180.000000
D2,25.450000,-30.100000,Top,-90.000000
D3,20.950000,-12.800000,Top,0.000000
D4,27.050000,-12.800000,Top,180.000000
FL1,20.800000,-33.300000,Top,180.000000
H1,17.050000,-16.850000,Top,90.000000
IC1,20.550000,-8.700000,Top,180.000000
IC2,25.750000,-8.750000,Top,180.000000
IC3,16.250000,-22.362000,Top,0.000000
J1,33.200000,-22.500000,Top,90.000000
J2,22.300000,1.800000,Top,180.000000
L1,14.700000,-11.600000,Top,90.000000
L2,31.200000,-7.500000,Top,90.000000
R1,12.300000,-9.475000,Top,90.000000
R2,10.800000,-9.475000,Top,90.000000
R3,34.375000,-9.800000,Top,180.000000
R5,34.375000,-14.300000,Top,180.000000
R6,34.375000,-12.800000,Top,180.000000
R7,10.800000,-12.475000,Top,-90.000000
R8,9.300000,-12.475000,Top,90.000000
R9,6.800000,-16.675000,Top,-90.000000
R10,24.900000,-25.300000,Top,180.000000
R11,34.375000,-15.900000,Top,180.000000
R12,25.050000,-5.335000,Top,-90.000000
R13,24.900000,-15.900000,Top,180.000000
R14,1.250000,-17.700000,Top,180.000000
R15,34.375000,-5.300000,Top,0.000000
R22,3.800000,-16.675000,Top,-90.000000
R23,1.250000,-16.200000,Top,180.000000
U2,7.350000,-27.265000,Top,-90.000000
U4,3.150000,-10.215000,Top,90.000000
U5,3.949999,-23.853248,Top,-90.000000
U6,5.800000,-31.100000,Top,90.000000
U7,8.000000,-31.100000,Top,90.000000
U8,10.100000,-31.100000,Top,90.000000
U9,16.500000,-31.100000,Top,90.000000
U14,10.000000,0.800000,Top,90.000000
U15,8.200000,0.800000,Top,90.000000
U16,8.200000,-2.300000,Top,90.000000
U17,10.000000,-2.300000,Top,90.000000
U23,12.100000,-31.100000,Top,90.000000
U26,14.200000,-31.100000,Top,90.000000
U27,5.800000,-34.500000,Top,90.000000
U28,16.500000,-34.500000,Top,90.000000
U29,10.100000,-34.500000,Top,90.000000
U30,12.200000,-34.500000,Top,90.000000
U31,14.400000,-34.500000,Top,90.000000
U32,7.900000,-34.500000,Top,90.000000
Y1,7.725000,-19.325000,Top,0.000000
