Designator,Mid X,Mid Y,Layer,Rotation
U18,0.9000mm,-14.3000mm,Bottom,0
U19,0.9000mm,-12.3000mm,Bottom,0
U22,-0.6000mm,-24.0000mm,Bottom,180
U24,-0.6000mm,-25.8000mm,Bottom,180
U25,-0.6000mm,-27.6000mm,Bottom,180
C1,-0.1750mm,-9.1000mm,Top,180
C2,-0.1750mm,-10.6000mm,Top,180
C3,22.7000mm,-31.0750mm,Top,90
C4,21.2000mm,-31.0750mm,Top,90
C5,5.3000mm,-16.6750mm,Top,270
C6,8.3000mm,-16.6750mm,Top,270
C7,1.2500mm,-21.0000mm,Top,0
C8,12.3000mm,-12.4750mm,Top,270
C9,7.8000mm,-12.4750mm,Top,270
C10,24.9000mm,-26.8000mm,Top,0
C11,24.9000mm,-18.6000mm,Top,0
C12,17.1000mm,-12.4750mm,Top,270
C13,9.3000mm,-9.4750mm,Top,270
C14,30.8750mm,-15.5000mm,Top,0
C15,27.8750mm,-15.5000mm,Top,0
C16,13.2000mm,-4.9500mm,Top,90
C17,13.2000mm,-0.3250mm,Top,270
C18,15.5000mm,-4.9500mm,Top,90
C19,15.5000mm,-0.3250mm,Top,270
C20,1.2500mm,-19.5000mm,Top,180
C21,7.1750mm,-23.2500mm,Top,0
C22,17.1000mm,-9.4750mm,Top,90
C23,34.3750mm,-11.3000mm,Top,180
C24,18.2000mm,-31.0750mm,Top,90
C25,19.7000mm,-31.0750mm,Top,90
C26,7.1750mm,-24.7500mm,Top,0
C27,4.3250mm,-28.3000mm,Top,180
C28,4.3250mm,-26.8000mm,Top,180
C31,34.3750mm,-8.3000mm,Top,0
C32,7.8000mm,-9.4750mm,Top,90
C33,34.3750mm,-6.8000mm,Top,180
C34,6.3000mm,-9.4750mm,Top,90
C35,1.2500mm,-13.5000mm,Top,0
C36,1.2500mm,-15.0000mm,Top,0
D1,6.5000mm,-5.7500mm,Top,180
D2,25.4500mm,-30.1000mm,Top,270
D3,20.9500mm,-12.8000mm,Top,0
D4,27.0500mm,-12.8000mm,Top,180
FL1,20.8000mm,-33.3000mm,Top,180
H1,17.0500mm,-16.8500mm,Top,90
IC1,20.5500mm,-8.7000mm,Top,180
IC2,25.7500mm,-8.7500mm,Top,180
IC3,16.2500mm,-22.3620mm,Top,0
J1,33.2000mm,-22.5000mm,Top,90
J2,22.3000mm,1.8000mm,Top,180
L1,14.7000mm,-11.6000mm,Top,90
L2,31.2000mm,-7.5000mm,Top,90
R1,12.3000mm,-9.4750mm,Top,90
R2,10.8000mm,-9.4750mm,Top,90
R3,34.3750mm,-9.8000mm,Top,180
R5,34.3750mm,-14.3000mm,Top,180
R6,34.3750mm,-12.8000mm,Top,180
R7,10.8000mm,-12.4750mm,Top,270
R8,9.3000mm,-12.4750mm,Top,90
R9,6.8000mm,-16.6750mm,Top,270
R10,24.9000mm,-25.3000mm,Top,180
R11,34.3750mm,-15.8000mm,Top,180
R12,25.0500mm,-5.3350mm,Top,270
R13,24.9000mm,-15.5000mm,Top,180
R15,34.3750mm,-5.3000mm,Top,0
R22,3.8000mm,-16.6750mm,Top,270
R23,1.2500mm,-16.5000mm,Top,180
U1,4.4200mm,-13.8200mm,Top,0
U2,7.3500mm,-27.2650mm,Top,270
U4,3.1500mm,-10.2150mm,Top,90
U5,3.8500mm,-23.8532mm,Top,270
U6,5.8000mm,-31.2000mm,Top,90
U7,8.0000mm,-31.2000mm,Top,90
U8,10.1000mm,-31.2000mm,Top,90
U9,16.5000mm,-31.3000mm,Top,90
U14,10.0000mm,0.8000mm,Top,90
U15,8.2000mm,0.8000mm,Top,90
U16,8.2000mm,-2.3000mm,Top,90
U17,10.0000mm,-2.3000mm,Top,90
U23,12.1000mm,-31.2000mm,Top,90
U26,14.3000mm,-31.3000mm,Top,90
U27,5.8000mm,-34.5000mm,Top,90
U28,16.5000mm,-34.5000mm,Top,90
U29,10.1000mm,-34.5000mm,Top,90
U30,12.2000mm,-34.5000mm,Top,90
U31,14.4000mm,-34.5000mm,Top,90
U32,7.9000mm,-34.5000mm,Top,90
Y1,7.7250mm,-19.3250mm,Top,0
