Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",3.500000,-6.230000,90.000000,top
"C2","1u","C_0402_1005Metric",2.500000,-6.230000,90.000000,top
"C3","100n","C_0402_1005Metric",18.300000,-25.400000,90.000000,top
"C4","1u","C_0402_1005Metric",17.300000,-25.380000,90.000000,top
"C5","8.2p","C_0402_1005Metric",10.620000,-16.400000,0.000000,top
"C6","8.2p","C_0402_1005Metric",13.800000,-14.580000,-90.000000,top
"C7","100n","C_0402_1005Metric",5.100000,-21.000000,90.000000,top
"C8","100n","C_0402_1005Metric",15.420000,-15.500000,180.000000,top
"C9","100n","C_0402_1005Metric",15.400000,-14.500000,180.000000,top
"C10","100n","C_0402_1005Metric",22.500000,-24.880000,90.000000,top
"C11","100n","C_0402_1005Metric",23.900000,-17.800000,0.000000,top
"C16","47u","C_0805_2012Metric",13.700000,-4.000000,180.000000,top
"C17","47u","C_0805_2012Metric",16.600000,-5.050000,-90.000000,top
"C18","47u","C_0805_2012Metric",13.750000,-6.100000,180.000000,top
"C19","47u","C_0805_2012Metric",16.600000,-1.500000,90.000000,top
"C20","1u","C_0402_1005Metric",7.600000,-20.900000,-90.000000,top
"C21","1u","C_0402_1005Metric",13.100000,-19.980000,-90.000000,top
"C22","10u","C_0603_1608Metric",13.500000,-7.900000,0.000000,top
"C23","100n","C_0402_1005Metric",18.620000,-14.700000,180.000000,top
"C24","1u","C_0402_1005Metric",19.900000,-27.080000,90.000000,top
"C25","100n","C_0402_1005Metric",20.900000,-27.080000,90.000000,top
"C26","10n","C_0402_1005Metric",9.480000,-24.000000,180.000000,top
"C27","100n","C_0402_1005Metric",11.720000,-26.300000,0.000000,top
"C28","2.2u","C_0402_1005Metric",9.500000,-23.000000,180.000000,top
"C29","100n","C_0402_1005Metric",4.500000,-17.300000,0.000000,top
"C30","100n","C_0402_1005Metric",4.500000,-12.530000,-90.000000,top
"C31","100n","C_0402_1005Metric",21.100000,-14.200000,-90.000000,top
"C32","22u","C_0603_1608Metric",11.900000,-11.675000,-90.000000,top
"C33","22u","C_0603_1608Metric",13.500000,-11.675000,-90.000000,top
"C34","10u","C_0603_1608Metric",16.600000,-7.900000,180.000000,top
"C35","1u","C_0402_1005Metric",11.000000,-7.500000,0.000000,top
"C36","100n","C_0402_1005Metric",23.480000,-9.700000,0.000000,top
"C37","100n","C_0402_1005Metric",27.300000,-14.380000,-90.000000,top
"C38","10u","C_0603_1608Metric",28.300000,-7.800000,180.000000,top
"C39","10u","C_0603_1608Metric",19.200000,-6.300000,0.000000,top
"C40","22u","C_0603_1608Metric",28.300000,-9.400000,0.000000,top
"C41","1u","C_0402_1005Metric",11.020000,-8.500000,0.000000,top
"C42","22u","C_0603_1608Metric",31.400000,-9.400000,180.000000,top
"D1","MAX40203AUK+T","SOT95P280X145-5M",7.950000,-9.700000,90.000000,top
"D2","MAX40203AUK+T","SOT95P280X145-5M",23.950000,-29.600000,-90.000000,top
"FL1","BLM18RK601SN1D","BEADC1608X95N",20.500000,-25.300000,180.000000,top
"H1","MountingHole","MountingHoles_30.5x30.5mm_Standard",17.000000,-17.000000,90.000000,top
