"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part Name","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number"
"C1,C2,C4,C20,C21,C24,C35,C41","8","1u","","","","Capacitor_SMD:C_0402_1005Metric","https://www.lcsc.com/datasheet/C1518208.pdf","C1518208","muRata","GRM155R61H105KE05D",""
"C3,C7,C8,C9,C10,C11,C23,C25,C27,C29,C30,C31,C36,C37","14","100n","","","","Capacitor_SMD:C_0402_1005Metric","https://www.lcsc.com/datasheet/C77020.pdf","C77020","muRata","GRM155R71H104KE14D",""
"C5,C6","2","8.2p","","","","Capacitor_SMD:C_0402_1005Metric","https://www.lcsc.com/datasheet/C76984.pdf","C76984","muRata","GRM1555C1H8R2CA01D",""
"C16,C17,C18,C19","4","47u","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/datasheet/C403725.pdf","C403725","muRata","GRM31CR61E476ME44L",""
"C22,C34,C38,C39","4","10u","","","","Capacitor_SMD:C_0603_1608Metric","https://www.lcsc.com/datasheet/C194427.pdf","C194427","muRata","GRM188R6YA106MA73D",""
"C26","1","10n","","","","Capacitor_SMD:C_0402_1005Metric","https://www.lcsc.com/datasheet/C91601.pdf","C91601","muRata","GCM155R71H103KA55D",""
"C28","1","2.2u","","","","Capacitor_SMD:C_0402_1005Metric","https://www.lcsc.com/datasheet/C385032.pdf","C385032","muRata","GRM155R61E225KE11D",""
"C32,C33,C40,C42","4","22u","","","","Capacitor_SMD:C_0603_1608Metric","https://www.lcsc.com/datasheet/C29519229.pdf","C29519229","muRata","GRM188C61E226ME01D",""
"D1,D2","2","MAX40203AUK+T","","","","fcg4_fp:SOT95P280X145-5M","https://www.lcsc.com/datasheet/C2653639.pdf","C2653639","Analog Devices","MAX40203AUK+T","700-MAX40203AUK+T"
"FL1","1","BLM18RK601SN1D","","","","fcg4_fp:BEADC1608X95N","https://www.lcsc.com/datasheet/C88987.pdf","C88987","muRata","BLM18RK601SN1D",""
"H1","1","MountingHole","","Excluded from BOM","","fcg4_fp:MountingHoles_30.5x30.5mm_Standard","~","","","",""
